"statebcr","x","y","bcr","aou","time.window","abund.index"
2024,-87.12883127,34.71030169,24,2890,1969,0.0365262399785543
2024,-87.12883127,34.71030169,24,2890,1974,0.0258288562257226
2024,-87.12883127,34.71030169,24,2890,1979,0.0291283739416934
2024,-87.12883127,34.71030169,24,2890,1984,0.0208853682793382
2024,-87.12883127,34.71030169,24,2890,1989,0.0219659120927556
2024,-87.12883127,34.71030169,24,2890,1994,0.0297110957839292
2024,-87.12883127,34.71030169,24,2890,1999,0.0191140482423433
2024,-87.12883127,34.71030169,24,2890,2004,0.014598918736278
2024,-87.12883127,34.71030169,24,2890,2009,0.00515187853897201
2024,-87.12883127,34.71030169,24,2890,2014,0.00108054381341735
2027,-87.07328258,32.10876098,27,2890,1969,0.445971936998695
2027,-87.07328258,32.10876098,27,2890,1974,0.37964136235577
2027,-87.07328258,32.10876098,27,2890,1979,0.400172862070203
2027,-87.07328258,32.10876098,27,2890,1984,0.404225064598977
2027,-87.07328258,32.10876098,27,2890,1989,0.278244435603008
2027,-87.07328258,32.10876098,27,2890,1994,0.300817347170728
2027,-87.07328258,32.10876098,27,2890,1999,0.2478222954594
2027,-87.07328258,32.10876098,27,2890,2004,0.139658088412992
2027,-87.07328258,32.10876098,27,2890,2009,0.0930840060559125
2027,-87.07328258,32.10876098,27,2890,2014,0.0656824263795068
2028,-86.47333137,33.94749018,28,2890,1969,0.096653249833295
2028,-86.47333137,33.94749018,28,2890,1974,0.088194731456433
2028,-86.47333137,33.94749018,28,2890,1979,0.0931611211666522
2028,-86.47333137,33.94749018,28,2890,1984,0.087764195045477
2028,-86.47333137,33.94749018,28,2890,1989,0.0502335967974979
2028,-86.47333137,33.94749018,28,2890,1994,0.0847504401687853
2028,-86.47333137,33.94749018,28,2890,1999,0.0665983292664603
2028,-86.47333137,33.94749018,28,2890,2004,0.0399311649030063
2028,-86.47333137,33.94749018,28,2890,2009,0.0182347391024075
2028,-86.47333137,33.94749018,28,2890,2014,0.00919782332496823
2029,-85.77031642,32.97293552,29,2890,1969,0.0321141972341005
2029,-85.77031642,32.97293552,29,2890,1974,0.0397319835547477
2029,-85.77031642,32.97293552,29,2890,1979,0.0512520182602361
2029,-85.77031642,32.97293552,29,2890,1984,0.0303217769233601
2029,-85.77031642,32.97293552,29,2890,1989,0.0180486767400953
2029,-85.77031642,32.97293552,29,2890,1994,0.0227039906027129
2029,-85.77031642,32.97293552,29,2890,1999,0.0209240176552415
2029,-85.77031642,32.97293552,29,2890,2004,0.0128581262569093
2029,-85.77031642,32.97293552,29,2890,2009,0.00819658871265706
2029,-85.77031642,32.97293552,29,2890,2014,0.00619256322634303
7024,-92.80717204,36.02740223,24,2890,1969,0.0944492329655772
7024,-92.80717204,36.02740223,24,2890,1974,0.107669998345781
7024,-92.80717204,36.02740223,24,2890,1979,0.136079221459639
7024,-92.80717204,36.02740223,24,2890,1984,0.0850681267183206
