"aou","time.window","centroid_lat","centroid_lon","mean_total_abund"
2890,1,36.9016834761349,-87.8341333574179,0.966992589096927
2890,2,36.8258091629621,-87.5507126797984,0.936975063938124
2890,3,36.9540493084989,-87.3655224518688,0.90159386420469
2890,4,36.8281935078021,-87.6681045200337,0.869119091246382
2890,5,37.0686529144932,-87.3796136462123,0.847076912351539
2890,6,37.0240524535118,-87.2931103558137,0.820862911609167
2890,7,36.9821412511444,-87.0019287514133,0.801146199030368
2890,8,37.0302892096337,-87.2083628645737,0.77063033151332
2890,9,36.8235025417449,-87.0564167754995,0.754048312988342
2890,10,36.7177079650743,-86.9099491747351,0.730992477135441
2890,11,36.6348858603696,-86.975725251432,0.718833200053646
2890,12,36.7209076493599,-87.1481542057882,0.693942842025388
2890,13,36.6909400351363,-86.9512013537101,0.681153534578729
2890,14,36.6593709318228,-86.9710688534225,0.660224809650262
2890,15,36.5786232935092,-86.7198019605868,0.655146520150067
2890,16,36.4078612724685,-86.527929590664,0.647151587774532
2890,17,36.2995980560147,-86.5954371723031,0.625634114857273
2890,18,36.2160119863878,-86.1188668371611,0.633376716910515
2890,19,35.8668629933086,-86.0851949577293,0.632722072145144
2890,20,35.6701762517681,-86.1110391520244,0.623701649473963
2890,21,35.6804350142056,-86.1319138928663,0.604915364790396
2890,22,35.7945583673322,-86.0739171233765,0.600670407512303
2890,23,35.884229345471,-85.8590626788843,0.58947724919287
2890,24,35.7767873194967,-85.8877917233779,0.58372600862642
2890,25,35.7475100595493,-85.9450389695506,0.571093876515128
2890,26,35.3499187723001,-86.2788985518755,0.545517210860845
2890,27,35.3811788641274,-85.9663070434662,0.546315512963535
2890,28,35.0527429157072,-85.9554924039386,0.56041390351889
2890,29,35.1687054880335,-86.333795085604,0.537082961893378
2890,30,35.0220469962577,-86.0846648422895,0.55050161242048
2890,31,34.9094604821794,-85.7460396977854,0.568533205887634
2890,32,35.1187659552877,-86.1498084897424,0.545625832820743
2890,33,35.0069085618672,-85.821050739351,0.550029321856307
2890,34,34.8078058505983,-85.8232396710576,0.548121438196478
